"","Name","Type","Magnitude","Distance","Constellation","RA","DEC","Other.Names","dec_n","ra_n","script"
"1","NGC 1","Galaxy","15.2",179.952,"Pegasus","00h07m","+27°42'","Mrk 477",27.7,1.75,"planetarium.addPointer({
    'ra':  1.75 ,
    'dec':  27.7 ,
    'label': ' NGC 1 ',
    'colour': ' rgb(255,0,0) '});"
"2","NGC 2","Galaxy","16.2",315.568,"Pegasus","00h07m","+27°40'","Mrk 1175",27.6666666666667,1.75,"planetarium.addPointer({
    'ra':  1.75 ,
    'dec':  27.6666666666667 ,
    'label': ' NGC 2 ',
    'colour': ' rgb(255,0,0) '});"
"7","NGC 7","Galaxy","13.8",65.363,"Sculptor","00h08m","-29°54'","",-28.1,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  -28.1 ,
    'label': ' NGC 7 ',
    'colour': ' rgb(255,0,0) '});"
"9","NGC 9","Galaxy","14.6",134.475,"Pegasus","00h08m","+23°49'","",23.8166666666667,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  23.8166666666667 ,
    'label': ' NGC 9 ',
    'colour': ' rgb(255,0,0) '});"
"10","NGC 10","Galaxy","12.5",274.818,"Sculptor","00h08m","-33°51'","",-32.15,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  -32.15 ,
    'label': ' NGC 10 ',
    'colour': ' rgb(255,0,0) '});"
"11","NGC 11","Galaxy","14.4",176.04,"Andromeda","00h08m","+37°26'","",37.4333333333333,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  37.4333333333333 ,
    'label': ' NGC 11 ',
    'colour': ' rgb(255,0,0) '});"
"12","NGC 12","Galaxy","13.2",153.22,"Pisces","00h08m","+04°36'","",4.6,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  4.6 ,
    'label': ' NGC 12 ',
    'colour': ' rgb(255,0,0) '});"
"13","NGC 13","Galaxy","14.1",201.468,"Andromeda","00h08m","+33°25'","",33.4166666666667,2,"planetarium.addPointer({
    'ra':  2 ,
    'dec':  33.4166666666667 ,
    'label': ' NGC 13 ',
    'colour': ' rgb(255,0,0) '});"
"15","NGC 15","Galaxy","15.1",402.61,"Pegasus","00h09m","+21°37'","",21.6166666666667,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  21.6166666666667 ,
    'label': ' NGC 15 ',
    'colour': ' rgb(255,0,0) '});"
"16","NGC 16","Galaxy","12.0",107.091,"Pegasus","00h09m","+27°43'","",27.7166666666667,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  27.7166666666667 ,
    'label': ' NGC 16 ',
    'colour': ' rgb(255,0,0) '});"
"19","NGC 19","Galaxy","13.8",209.292,"Andromeda","00h10m","+32°58'","",32.9666666666667,2.5,"planetarium.addPointer({
    'ra':  2.5 ,
    'dec':  32.9666666666667 ,
    'label': ' NGC 19 ',
    'colour': ' rgb(255,0,0) '});"
"21","NGC 21","Galaxy","13.4",229.178,"Andromeda","00h10m","+33°21'","",33.35,2.5,"planetarium.addPointer({
    'ra':  2.5 ,
    'dec':  33.35 ,
    'label': ' NGC 21 ',
    'colour': ' rgb(255,0,0) '});"
"22","NGC 22","Galaxy","14.8",394.46,"Pegasus","00h09m","+27°49'","",27.8166666666667,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  27.8166666666667 ,
    'label': ' NGC 22 ',
    'colour': ' rgb(255,0,0) '});"
"23","NGC 23","Galaxy","13.0",177.996,"Pegasus","00h09m","+25°55'","Mrk 545",25.9166666666667,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  25.9166666666667 ,
    'label': ' NGC 23 ',
    'colour': ' rgb(255,0,0) '});"
"24","NGC 24","Galaxy","11.5",26.6342,"Sculptor","00h09m","-24°57'","",-23.05,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  -23.05 ,
    'label': ' NGC 24 ',
    'colour': ' rgb(255,0,0) '});"
"25","NGC 25","Galaxy","15.5",30.5788,"Phoenix","00h09m","-57°01'","",-56.9833333333333,2.25,"planetarium.addPointer({
    'ra':  2.25 ,
    'dec':  -56.9833333333333 ,
    'label': ' NGC 25 ',
    'colour': ' rgb(255,0,0) '});"
"26","NGC 26","Galaxy","13.8",206.684,"Pegasus","00h10m","+25°49'","",25.8166666666667,2.5,"planetarium.addPointer({
    'ra':  2.5 ,
    'dec':  25.8166666666667 ,
    'label': ' NGC 26 ',
    'colour': ' rgb(255,0,0) '});"
"27","NGC 27","Galaxy","14.4",306.766,"Andromeda","00h10m","+28°59'","",28.9833333333333,2.5,"planetarium.addPointer({
    'ra':  2.5 ,
    'dec':  28.9833333333333 ,
    'label': ' NGC 27 ',
    'colour': ' rgb(255,0,0) '});"
"36","NGC 36","Galaxy","14.4",231.46,"Pisces","00h11m","+06°23'","",6.38333333333333,2.75,"planetarium.addPointer({
    'ra':  2.75 ,
    'dec':  6.38333333333333 ,
    'label': ' NGC 36 ',
    'colour': ' rgb(255,0,0) '});"
"37","NGC 37","Galaxy","14.9",537.9,"Phoenix","00h11m","-56°57'","",-55.05,2.75,"planetarium.addPointer({
    'ra':  2.75 ,
    'dec':  -55.05 ,
    'label': ' NGC 37 ',
    'colour': ' rgb(255,0,0) '});"
"41","NGC 41","Galaxy","14.5",261.778,"Pegasus","00h12m","+22°01'","",22.0166666666667,3,"planetarium.addPointer({
    'ra':  3 ,
    'dec':  22.0166666666667 ,
    'label': ' NGC 41 ',
    'colour': ' rgb(255,0,0) '});"
"48","NGC 48","Galaxy","14.9",126.162,"Andromeda","00h14m","+48°14'","",48.2333333333333,3.5,"planetarium.addPointer({
    'ra':  3.5 ,
    'dec':  48.2333333333333 ,
    'label': ' NGC 48 ',
    'colour': ' rgb(255,0,0) '});"
"52","NGC 52","Galaxy","14.3",227.548,"Pegasus","00h14m","+18°34'","",18.5666666666667,3.5,"planetarium.addPointer({
    'ra':  3.5 ,
    'dec':  18.5666666666667 ,
    'label': ' NGC 52 ',
    'colour': ' rgb(255,0,0) '});"
"53","NGC 53","Galaxy","12.6",235.698,"Tucana","00h14m","-60°19'","",-59.6833333333333,3.5,"planetarium.addPointer({
    'ra':  3.5 ,
    'dec':  -59.6833333333333 ,
    'label': ' NGC 53 ',
    'colour': ' rgb(255,0,0) '});"
"62","NGC 62","Galaxy","14.3",227.222,"Cetus","00h17m","-13°29'","",-12.5166666666667,4.25,"planetarium.addPointer({
    'ra':  4.25 ,
    'dec':  -12.5166666666667 ,
    'label': ' NGC 62 ',
    'colour': ' rgb(255,0,0) '});"
"63","NGC 63","Galaxy","12.5",60.962,"Pisces","00h17m","+11°27'","",11.45,4.25,"planetarium.addPointer({
    'ra':  4.25 ,
    'dec':  11.45 ,
    'label': ' NGC 63 ',
    'colour': ' rgb(255,0,0) '});"
"64","NGC 64","Galaxy","14.1",332.52,"Cetus","00h17m","-06°49'","",-5.18333333333333,4.25,"planetarium.addPointer({
    'ra':  4.25 ,
    'dec':  -5.18333333333333 ,
    'label': ' NGC 64 ',
    'colour': ' rgb(255,0,0) '});"
"66","NGC 66","Galaxy","14.1",308.396,"Cetus","00h19m","-22°56'","",-21.0666666666667,4.75,"planetarium.addPointer({
    'ra':  4.75 ,
    'dec':  -21.0666666666667 ,
    'label': ' NGC 66 ',
    'colour': ' rgb(255,0,0) '});"
"68","NGC 68","Galaxy","13.0",271.232,"Andromeda","00h18m","+30°04'","",30.0666666666667,4.5,"planetarium.addPointer({
    'ra':  4.5 ,
    'dec':  30.0666666666667 ,
    'label': ' NGC 68 ',
    'colour': ' rgb(255,0,0) '});"
"71","NGC 71","Galaxy","14.1",301.55,"Andromeda","00h18m","+30°03'","",30.05,4.5,"planetarium.addPointer({
    'ra':  4.5 ,
    'dec':  30.05 ,
    'label': ' NGC 71 ',
    'colour': ' rgb(255,0,0) '});"
"73","NGC 73","Galaxy","14.4",350.45,"Cetus","00h18m","-15°19'","",-14.6833333333333,4.5,"planetarium.addPointer({
    'ra':  4.5 ,
    'dec':  -14.6833333333333 ,
    'label': ' NGC 73 ',
    'colour': ' rgb(255,0,0) '});"
"79","NGC 79","Galaxy","15.2",272.536,"Andromeda","00h21m","+22°33'","",22.55,5.25,"planetarium.addPointer({
    'ra':  5.25 ,
    'dec':  22.55 ,
    'label': ' NGC 79 ',
    'colour': ' rgb(255,0,0) '});"
"80","NGC 80","Galaxy","12.3",264.06,"Andromeda","00h21m","+22°21'","",22.35,5.25,"planetarium.addPointer({
    'ra':  5.25 ,
    'dec':  22.35 ,
    'label': ' NGC 80 ',
    'colour': ' rgb(255,0,0) '});"
"83","NGC 83","Galaxy","12.6",291.444,"Andromeda","00h21m","+22°26'","",22.4333333333333,5.25,"planetarium.addPointer({
    'ra':  5.25 ,
    'dec':  22.4333333333333 ,
    'label': ' NGC 83 ',
    'colour': ' rgb(255,0,0) '});"
"85","NGC 85","Galaxy","15.5",183.212,"Andromeda","00h21m","+22°30'","",22.5,5.25,"planetarium.addPointer({
    'ra':  5.25 ,
    'dec':  22.5 ,
    'label': ' NGC 85 ',
    'colour': ' rgb(255,0,0) '});"
"86","NGC 86","Galaxy","14.8",292.096,"Andromeda","00h21m","+22°33'","",22.55,5.25,"planetarium.addPointer({
    'ra':  5.25 ,
    'dec':  22.55 ,
    'label': ' NGC 86 ',
    'colour': ' rgb(255,0,0) '});"
"90","NGC 90","Galaxy","13.8",333.661,"Andromeda","00h21m","+22°24'","",22.4,5.25,"planetarium.addPointer({
    'ra':  5.25 ,
    'dec':  22.4 ,
    'label': ' NGC 90 ',
    'colour': ' rgb(255,0,0) '});"
"93","NGC 93","Galaxy","13.3",260.474,"Andromeda","00h22m","+22°24'","",22.4,5.5,"planetarium.addPointer({
    'ra':  5.5 ,
    'dec':  22.4 ,
    'label': ' NGC 93 ',
    'colour': ' rgb(255,0,0) '});"
"95","NGC 95","Galaxy","12.6",174.41,"Pisces","00h22m","+10°29'","",10.4833333333333,5.5,"planetarium.addPointer({
    'ra':  5.5 ,
    'dec':  10.4833333333333 ,
    'label': ' NGC 95 ',
    'colour': ' rgb(255,0,0) '});"
"97","NGC 97","Galaxy","13.4",231.297,"Andromeda","00h22m","+29°44'","",29.7333333333333,5.5,"planetarium.addPointer({
    'ra':  5.5 ,
    'dec':  29.7333333333333 ,
    'label': ' NGC 97 ',
    'colour': ' rgb(255,0,0) '});"
"99","NGC 99","Galaxy","13.8",94.866,"Pisces","00h23m","+15°46'","",15.7666666666667,5.75,"planetarium.addPointer({
    'ra':  5.75 ,
    'dec':  15.7666666666667 ,
    'label': ' NGC 99 ',
    'colour': ' rgb(255,0,0) '});"
"100","NGC 100","Galaxy","13.2",57.05,"Pisces","00h24m","+16°29'","",16.4833333333333,6,"planetarium.addPointer({
    'ra':  6 ,
    'dec':  16.4833333333333 ,
    'label': ' NGC 100 ',
    'colour': ' rgb(255,0,0) '});"
"102","NGC 102","Galaxy","14.4",339.04,"Cetus","00h24m","-13°57'","",-12.05,6,"planetarium.addPointer({
    'ra':  6 ,
    'dec':  -12.05 ,
    'label': ' NGC 102 ',
    'colour': ' rgb(255,0,0) '});"
"106","NGC 106","Galaxy","14.5",199.186,"Pisces","00h24m","-05°08'","",-4.86666666666667,6,"planetarium.addPointer({
    'ra':  6 ,
    'dec':  -4.86666666666667 ,
    'label': ' NGC 106 ',
    'colour': ' rgb(255,0,0) '});"
"109","NGC 109","Galaxy","13.7",213.856,"Andromeda","00h26m","+21°48'","",21.8,6.5,"planetarium.addPointer({
    'ra':  6.5 ,
    'dec':  21.8 ,
    'label': ' NGC 109 ',
    'colour': ' rgb(255,0,0) '});"
"112","NGC 112","Galaxy","14.4",274.655,"Andromeda","00h26m","+31°42'","",31.7,6.5,"planetarium.addPointer({
    'ra':  6.5 ,
    'dec':  31.7 ,
    'label': ' NGC 112 ',
    'colour': ' rgb(255,0,0) '});"
"113","NGC 113","Galaxy","14.0",182.234,"Cetus","00h26m","-02°30'","",-1.5,6.5,"planetarium.addPointer({
    'ra':  6.5 ,
    'dec':  -1.5 ,
    'label': ' NGC 113 ',
    'colour': ' rgb(255,0,0) '});"
"114","NGC 114","Galaxy","15.0",215.486,"Cetus","00h26m","-01°47'","Mrk 946",-0.216666666666667,6.5,"planetarium.addPointer({
    'ra':  6.5 ,
    'dec':  -0.216666666666667 ,
    'label': ' NGC 114 ',
    'colour': ' rgb(255,0,0) '});"
"115","NGC 115","Galaxy","13.7",94.866,"Sculptor","00h26m","-33°40'","",-32.3333333333333,6.5,"planetarium.addPointer({
    'ra':  6.5 ,
    'dec':  -32.3333333333333 ,
    'label': ' NGC 115 ',
    'colour': ' rgb(255,0,0) '});"
"120","NGC 120","Galaxy","14.6",183.538,"Cetus","00h27m","-01°30'","",-0.5,6.75,"planetarium.addPointer({
    'ra':  6.75 ,
    'dec':  -0.5 ,
    'label': ' NGC 120 ',
    'colour': ' rgb(255,0,0) '});"
"124","NGC 124","Galaxy","13.7",188.754,"Cetus","00h27m","-01°48'","",-0.2,6.75,"planetarium.addPointer({
    'ra':  6.75 ,
    'dec':  -0.2 ,
    'label': ' NGC 124 ',
    'colour': ' rgb(255,0,0) '});"
"125","NGC 125","Galaxy","12.3",207.662,"Pisces","00h28m","+02°50'","",2.83333333333333,7,"planetarium.addPointer({
    'ra':  7 ,
    'dec':  2.83333333333333 ,
    'label': ' NGC 125 ',
    'colour': ' rgb(255,0,0) '});"
"127","NGC 127","Galaxy","14.0",260.474,"Pisces","00h29m","+02°52'","",2.86666666666667,7.25,"planetarium.addPointer({
    'ra':  7.25 ,
    'dec':  2.86666666666667 ,
    'label': ' NGC 127 ',
    'colour': ' rgb(255,0,0) '});"
"131","NGC 131","Galaxy","13.2",36.3164,"Sculptor","00h29m","-33°15'","",-32.75,7.25,"planetarium.addPointer({
    'ra':  7.25 ,
    'dec':  -32.75 ,
    'label': ' NGC 131 ',
    'colour': ' rgb(255,0,0) '});"
"132","NGC 132","Galaxy","13.7",249.39,"Cetus","00h30m","+02°05'","",2.08333333333333,7.5,"planetarium.addPointer({
    'ra':  7.5 ,
    'dec':  2.08333333333333 ,
    'label': ' NGC 132 ',
    'colour': ' rgb(255,0,0) '});"
"134","NGC 134","Galaxy","10.3",57.376,"Sculptor","00h30m","-33°14'","",-32.7666666666667,7.5,"planetarium.addPointer({
    'ra':  7.5 ,
    'dec':  -32.7666666666667 ,
    'label': ' NGC 134 ',
    'colour': ' rgb(255,0,0) '});"
"143","NGC 143","Galaxy","15.3",404.24,"Cetus","00h31m","-22°33'","",-21.45,7.75,"planetarium.addPointer({
    'ra':  7.75 ,
    'dec':  -21.45 ,
    'label': ' NGC 143 ',
    'colour': ' rgb(255,0,0) '});"
"145","NGC 145","Galaxy","13.2",52.16,"Cetus","00h31m","-05°09'","Arp 19",-4.85,7.75,"planetarium.addPointer({
    'ra':  7.75 ,
    'dec':  -4.85 ,
    'label': ' NGC 145 ',
    'colour': ' rgb(255,0,0) '});"
"148","NGC 148","Galaxy","12.2",59.984,"Sculptor","00h34m","-31°47'","",-30.2166666666667,8.5,"planetarium.addPointer({
    'ra':  8.5 ,
    'dec':  -30.2166666666667 ,
    'label': ' NGC 148 ',
    'colour': ' rgb(255,0,0) '});"
"150","NGC 150","Galaxy","11.4",66.667,"Sculptor","00h34m","-27°48'","",-26.2,8.5,"planetarium.addPointer({
    'ra':  8.5 ,
    'dec':  -26.2 ,
    'label': ' NGC 150 ',
    'colour': ' rgb(255,0,0) '});"
"151","NGC 151","Galaxy","11.7",134.638,"Cetus","00h34m","-09°42'","",-8.3,8.5,"planetarium.addPointer({
    'ra':  8.5 ,
    'dec':  -8.3 ,
    'label': ' NGC 151 ',
    'colour': ' rgb(255,0,0) '});"
"154","NGC 154","Galaxy","15.2",391.2,"Cetus","00h34m","-12°39'","",-11.35,8.5,"planetarium.addPointer({
    'ra':  8.5 ,
    'dec':  -11.35 ,
    'label': ' NGC 154 ',
    'colour': ' rgb(255,0,0) '});"
"155","NGC 155","Galaxy","14.2",218.746,"Cetus","00h34m","-10°45'","",-9.25,8.5,"planetarium.addPointer({
    'ra':  8.5 ,
    'dec':  -9.25 ,
    'label': ' NGC 155 ',
    'colour': ' rgb(255,0,0) '});"
"159","NGC 159","Galaxy","14.9",404.24,"Phoenix","00h34m","-55°47'","",-54.2166666666667,8.5,"planetarium.addPointer({
    'ra':  8.5 ,
    'dec':  -54.2166666666667 ,
    'label': ' NGC 159 ',
    'colour': ' rgb(255,0,0) '});"
"160","NGC 160","Galaxy","12.7",233.742,"Andromeda","00h36m","+23°57'","",23.95,9,"planetarium.addPointer({
    'ra':  9 ,
    'dec':  23.95 ,
    'label': ' NGC 160 ',
    'colour': ' rgb(255,0,0) '});"
"161","NGC 161","Galaxy","14.4",234.72,"Cetus","00h35m","-02°50'","",-1.16666666666667,8.75,"planetarium.addPointer({
    'ra':  8.75 ,
    'dec':  -1.16666666666667 ,
    'label': ' NGC 161 ',
    'colour': ' rgb(255,0,0) '});"
"163","NGC 163","Galaxy","12.7",244.337,"Cetus","00h35m","-10°07'","",-9.88333333333333,8.75,"planetarium.addPointer({
    'ra':  8.75 ,
    'dec':  -9.88333333333333 ,
    'label': ' NGC 163 ',
    'colour': ' rgb(255,0,0) '});"
"165","NGC 165","Galaxy","13.2",244.663,"Cetus","00h36m","-10°06'","",-9.9,9,"planetarium.addPointer({
    'ra':  9 ,
    'dec':  -9.9 ,
    'label': ' NGC 165 ',
    'colour': ' rgb(255,0,0) '});"
"169","NGC 169","Galaxy","13.3",226.57,"Andromeda","00h36m","+23°59'","Mrk 341",23.9833333333333,9,"planetarium.addPointer({
    'ra':  9 ,
    'dec':  23.9833333333333 ,
    'label': ' NGC 169 ',
    'colour': ' rgb(255,0,0) '});"
"171","NGC 171","Galaxy","12.2",154.198,"Cetus","00h37m","-19°56'","",-18.0666666666667,9.25,"planetarium.addPointer({
    'ra':  9.25 ,
    'dec':  -18.0666666666667 ,
    'label': ' NGC 171 ',
    'colour': ' rgb(255,0,0) '});"
"172","NGC 172","Galaxy","13.5",128.77,"Cetus","00h37m","-22°35'","",-21.4166666666667,9.25,"planetarium.addPointer({
    'ra':  9.25 ,
    'dec':  -21.4166666666667 ,
    'label': ' NGC 172 ',
    'colour': ' rgb(255,0,0) '});"
"173","NGC 173","Galaxy","13.4",218.583,"Cetus","00h37m","+01°56'","",1.93333333333333,9.25,"planetarium.addPointer({
    'ra':  9.25 ,
    'dec':  1.93333333333333 ,
    'label': ' NGC 173 ',
    'colour': ' rgb(255,0,0) '});"
"177","NGC 177","Galaxy","14.2",199.838,"Cetus","00h37m","-22°32'","",-21.4666666666667,9.25,"planetarium.addPointer({
    'ra':  9.25 ,
    'dec':  -21.4666666666667 ,
    'label': ' NGC 177 ',
    'colour': ' rgb(255,0,0) '});"
"178","NGC 178","Galaxy","12.6",16.626,"Cetus","00h39m","-14°10'","",-13.8333333333333,9.75,"planetarium.addPointer({
    'ra':  9.75 ,
    'dec':  -13.8333333333333 ,
    'label': ' NGC 178 ',
    'colour': ' rgb(255,0,0) '});"
"179","NGC 179","Galaxy","13.2",307.744,"Cetus","00h37m","-17°50'","",-16.1666666666667,9.25,"planetarium.addPointer({
    'ra':  9.25 ,
    'dec':  -16.1666666666667 ,
    'label': ' NGC 179 ',
    'colour': ' rgb(255,0,0) '});"
"181","NGC 181","Galaxy","15.5",288.347,"Andromeda","00h38m","+29°28'","",29.4666666666667,9.5,"planetarium.addPointer({
    'ra':  9.5 ,
    'dec':  29.4666666666667 ,
    'label': ' NGC 181 ',
    'colour': ' rgb(255,0,0) '});"
"190","NGC 190","Galaxy","15.7",436.84,"Pisces","00h38m","+07°03'","",7.05,9.5,"planetarium.addPointer({
    'ra':  9.5 ,
    'dec':  7.05 ,
    'label': ' NGC 190 ',
    'colour': ' rgb(255,0,0) '});"
"194","NGC 194","Galaxy","12.1",207.336,"Pisces","00h39m","+03°02'","",3.03333333333333,9.75,"planetarium.addPointer({
    'ra':  9.75 ,
    'dec':  3.03333333333333 ,
    'label': ' NGC 194 ',
    'colour': ' rgb(255,0,0) '});"
"195","NGC 195","Galaxy","13.4",212.063,"Cetus","00h39m","-09°11'","",-8.81666666666667,9.75,"planetarium.addPointer({
    'ra':  9.75 ,
    'dec':  -8.81666666666667 ,
    'label': ' NGC 195 ',
    'colour': ' rgb(255,0,0) '});"
"196","NGC 196","Galaxy","13.5",213.856,"Cetus","00h39m","+00°54'","",0.9,9.75,"planetarium.addPointer({
    'ra':  9.75 ,
    'dec':  0.9 ,
    'label': ' NGC 196 ',
    'colour': ' rgb(255,0,0) '});"
"200","NGC 200","Galaxy","12.7",222.006,"Pisces","00h39m","+02°53'","",2.88333333333333,9.75,"planetarium.addPointer({
    'ra':  9.75 ,
    'dec':  2.88333333333333 ,
    'label': ' NGC 200 ',
    'colour': ' rgb(255,0,0) '});"
"201","NGC 201","Galaxy","13.0",197.556,"Cetus","00h39m","+00°51'","",0.85,9.75,"planetarium.addPointer({
    'ra':  9.75 ,
    'dec':  0.85 ,
    'label': ' NGC 201 ',
    'colour': ' rgb(255,0,0) '});"
"205","NGC 205","Galaxy","8.2",2.19887,"Andromeda","00h40m","+41°41'","M 110",41.6833333333333,10,"planetarium.addPointer({
    'ra':  10 ,
    'dec':  41.6833333333333 ,
    'label': ' NGC 205 ',
    'colour': ' rgb(255,0,0) '});"
"213","NGC 213","Galaxy","14.7",239.773,"Pisces","00h41m","+16°28'","",16.4666666666667,10.25,"planetarium.addPointer({
    'ra':  10.25 ,
    'dec':  16.4666666666667 ,
    'label': ' NGC 213 ',
    'colour': ' rgb(255,0,0) '});"
"215","NGC 215","Galaxy","14.1",371.64,"Phoenix","00h40m","-56°12'","",-55.8,10,"planetarium.addPointer({
    'ra':  10 ,
    'dec':  -55.8 ,
    'label': ' NGC 215 ',
    'colour': ' rgb(255,0,0) '});"
"216","NGC 216","Galaxy","13.2",59.658,"Cetus","00h41m","-21°02'","",-20.9666666666667,10.25,"planetarium.addPointer({
    'ra':  10.25 ,
    'dec':  -20.9666666666667 ,
    'label': ' NGC 216 ',
    'colour': ' rgb(255,0,0) '});"
"217","NGC 217","Galaxy","12.1",182.234,"Cetus","00h41m","-10°01'","",-9.98333333333333,10.25,"planetarium.addPointer({
    'ra':  10.25 ,
    'dec':  -9.98333333333333 ,
    'label': ' NGC 217 ',
    'colour': ' rgb(255,0,0) '});"
"219","NGC 219","Galaxy","15.2",320.458,"Cetus","00h42m","+00°54'","",0.9,10.5,"planetarium.addPointer({
    'ra':  10.5 ,
    'dec':  0.9 ,
    'label': ' NGC 219 ',
    'colour': ' rgb(255,0,0) '});"
"221","NGC 221","Galaxy","9.0",2.19887,"Andromeda","00h42m","+40°51'","M 32, Arp 168",40.85,10.5,"planetarium.addPointer({
    'ra':  10.5 ,
    'dec':  40.85 ,
    'label': ' NGC 221 ',
    'colour': ' rgb(255,0,0) '});"
"223","NGC 223","Galaxy","14.3",318.502,"Cetus","00h42m","+00°50'","",0.833333333333333,10.5,"planetarium.addPointer({
    'ra':  10.5 ,
    'dec':  0.833333333333333 ,
    'label': ' NGC 223 ',
    'colour': ' rgb(255,0,0) '});"
"224","NGC 224","Galaxy","3.4",2.19887,"Andromeda","00h42m","+41°16'","Andromeda Galaxy, Andromeda A, M 31",41.2666666666667,10.5,"planetarium.addPointer({
    'ra':  10.5 ,
    'dec':  41.2666666666667 ,
    'label': ' NGC 224 ',
    'colour': ' rgb(255,0,0) '});"
"227","NGC 227","Galaxy","12.2",232.764,"Cetus","00h42m","-01°31'","",-0.483333333333333,10.5,"planetarium.addPointer({
    'ra':  10.5 ,
    'dec':  -0.483333333333333 ,
    'label': ' NGC 227 ',
    'colour': ' rgb(255,0,0) '});"
"232","NGC 232","Galaxy","14.5",282.968,"Cetus","00h42m","-23°33'","",-22.45,10.5,"planetarium.addPointer({
    'ra':  10.5 ,
    'dec':  -22.45 ,
    'label': ' NGC 232 ',
    'colour': ' rgb(255,0,0) '});"
"237","NGC 237","Galaxy","13.6",167.238,"Cetus","00h43m","-00°07'","",0.116666666666667,10.75,"planetarium.addPointer({
    'ra':  10.75 ,
    'dec':  0.116666666666667 ,
    'label': ' NGC 237 ',
    'colour': ' rgb(255,0,0) '});"
"239","NGC 239","Galaxy","14.3",242.87,"Cetus","00h44m","-03°45'","",-2.25,11,"planetarium.addPointer({
    'ra':  11 ,
    'dec':  -2.25 ,
    'label': ' NGC 239 ',
    'colour': ' rgb(255,0,0) '});"
"244","NGC 244","Galaxy","13.3",79.87,"Cetus","00h45m","-15°35'","",-14.4166666666667,11.25,"planetarium.addPointer({
    'ra':  11.25 ,
    'dec':  -14.4166666666667 ,
    'label': ' NGC 244 ',
    'colour': ' rgb(255,0,0) '});"
"245","NGC 245","Galaxy","12.9",92.421,"Cetus","00h46m","-01°43'","Mrk 555",-0.283333333333333,11.5,"planetarium.addPointer({
    'ra':  11.5 ,
    'dec':  -0.283333333333333 ,
    'label': ' NGC 245 ',
    'colour': ' rgb(255,0,0) '});"
"250","NGC 250","Galaxy","14.8",153.872,"Pisces","00h47m","+07°54'","",7.9,11.75,"planetarium.addPointer({
    'ra':  11.75 ,
    'dec':  7.9 ,
    'label': ' NGC 250 ',
    'colour': ' rgb(255,0,0) '});"
"251","NGC 251","Galaxy","12.6",211.9,"Pisces","00h47m","+19°35'","",19.5833333333333,11.75,"planetarium.addPointer({
    'ra':  11.75 ,
    'dec':  19.5833333333333 ,
    'label': ' NGC 251 ',
    'colour': ' rgb(255,0,0) '});"
"252","NGC 252","Galaxy","12.5",244.011,"Andromeda","00h48m","+27°37'","",27.6166666666667,12,"planetarium.addPointer({
    'ra':  12 ,
    'dec':  27.6166666666667 ,
    'label': ' NGC 252 ',
    'colour': ' rgb(255,0,0) '});"
"254","NGC 254","Galaxy","11.7",67.156,"Sculptor","00h47m","-31°25'","",-30.5833333333333,11.75,"planetarium.addPointer({
    'ra':  11.75 ,
    'dec':  -30.5833333333333 ,
    'label': ' NGC 254 ',
    'colour': ' rgb(255,0,0) '});"
"255","NGC 255","Galaxy","11.9",60.31,"Cetus","00h47m","-11°28'","",-10.5333333333333,11.75,"planetarium.addPointer({
    'ra':  11.75 ,
    'dec':  -10.5333333333333 ,
    'label': ' NGC 255 ',
    'colour': ' rgb(255,0,0) '});"
"257","NGC 257","Galaxy","12.6",227.874,"Pisces","00h48m","+08°17'","",8.28333333333333,12,"planetarium.addPointer({
    'ra':  12 ,
    'dec':  8.28333333333333 ,
    'label': ' NGC 257 ',
    'colour': ' rgb(255,0,0) '});"
"262","NGC 262","Galaxy","15.0",70.09,"Andromeda","00h48m","+31°57'","Mrk 348",31.95,12,"planetarium.addPointer({
    'ra':  12 ,
    'dec':  31.95 ,
    'label': ' NGC 262 ',
    'colour': ' rgb(255,0,0) '});"
"270","NGC 270","Galaxy","13.8",140.18,"Cetus","00h50m","-08°39'","",-7.35,12.5,"planetarium.addPointer({
    'ra':  12.5 ,
    'dec':  -7.35 ,
    'label': ' NGC 270 ',
    'colour': ' rgb(255,0,0) '});"
"271","NGC 271","Galaxy","13.2",218.094,"Cetus","00h50m","-01°54'","",-0.1,12.5,"planetarium.addPointer({
    'ra':  12.5 ,
    'dec':  -0.1 ,
    'label': ' NGC 271 ',
    'colour': ' rgb(255,0,0) '});"
"273","NGC 273","Galaxy","12.9",220.376,"Cetus","00h50m","-06°53'","",-5.11666666666667,12.5,"planetarium.addPointer({
    'ra':  12.5 ,
    'dec':  -5.11666666666667 ,
    'label': ' NGC 273 ',
    'colour': ' rgb(255,0,0) '});"
