"","Name","Type","Magnitude","Distance","Constellation","RA","DEC","Other.Names","dec_n","ra_n","script","gaB","gaL","scriptGal"
"2218","NGC 2218","Nebula","–","","Gemini","06h24m","+19°20'","",19.3333333333333,96,"planetarium.addPointer({
    'ra':  96 ,
    'dec':  19.3333333333333 ,
    'label': ' NGC 2218 ',
    'colour': ' rgb(0,153,0) '});",0.18974453039944,0.12732592946509,"planetarium.addPointer({
    'ra':  96 ,
    'dec':  19.3333333333333 ,
    'label': ' NGC 2218 ',
    'colour': ' rgb(0,153,0) '});"
"2220","NGC 2220","Nebula","–","","Puppis","06h21m","-44°45'","",-43.25,95.25,"planetarium.addPointer({
    'ra':  95.25 ,
    'dec':  -43.25 ,
    'label': ' NGC 2220 ',
    'colour': ' rgb(0,153,0) '});",-0.158412566166061,-0.431178140567923,"planetarium.addPointer({
    'ra':  95.25 ,
    'dec':  -43.25 ,
    'label': ' NGC 2220 ',
    'colour': ' rgb(0,153,0) '});"
"2224","NGC 2224","Nebula","–","","Gemini","06h27m","+12°35'","",12.5833333333333,96.75,"planetarium.addPointer({
    'ra':  96.75 ,
    'dec':  12.5833333333333 ,
    'label': ' NGC 2224 ',
    'colour': ' rgb(0,153,0) '});",0.632972859279029,0.940801542083343,"planetarium.addPointer({
    'ra':  96.75 ,
    'dec':  12.5833333333333 ,
    'label': ' NGC 2224 ',
    'colour': ' rgb(0,153,0) '});"
"2237","NGC 2237","Nebula","–","","Monoceros","06h30m","+05°02'","",5.03333333333333,97.5,"planetarium.addPointer({
    'ra':  97.5 ,
    'dec':  5.03333333333333 ,
    'label': ' NGC 2237 ',
    'colour': ' rgb(0,153,0) '});",-0.158784146159064,2.11405436297111,"planetarium.addPointer({
    'ra':  97.5 ,
    'dec':  5.03333333333333 ,
    'label': ' NGC 2237 ',
    'colour': ' rgb(0,153,0) '});"
"2239","NGC 2239","Nebula","4.8","","Monoceros","06h31m","+04°56'","",4.93333333333333,97.75,"planetarium.addPointer({
    'ra':  97.75 ,
    'dec':  4.93333333333333 ,
    'label': ' NGC 2239 ',
    'colour': ' rgb(0,153,0) '});",-0.259441254241323,-0.961450654226101,"planetarium.addPointer({
    'ra':  97.75 ,
    'dec':  4.93333333333333 ,
    'label': ' NGC 2239 ',
    'colour': ' rgb(0,153,0) '});"
"2246","NGC 2246","Nebula","–","","Monoceros","06h32m","+05°07'","",5.11666666666667,98,"planetarium.addPointer({
    'ra':  98 ,
    'dec':  5.11666666666667 ,
    'label': ' NGC 2246 ',
    'colour': ' rgb(0,153,0) '});",-0.101185263840041,-0.841217137142318,"planetarium.addPointer({
    'ra':  98 ,
    'dec':  5.11666666666667 ,
    'label': ' NGC 2246 ',
    'colour': ' rgb(0,153,0) '});"
"2248","NGC 2248","Nebula","–","","Gemini","06h34m","+26°18'","",26.3,98.5,"planetarium.addPointer({
    'ra':  98.5 ,
    'dec':  26.3 ,
    'label': ' NGC 2248 ',
    'colour': ' rgb(0,153,0) '});",0.69555100435169,1.73582357485156,"planetarium.addPointer({
    'ra':  98.5 ,
    'dec':  26.3 ,
    'label': ' NGC 2248 ',
    'colour': ' rgb(0,153,0) '});"
"2277","NGC 2277","Nebula","–","","Gemini","06h47m","+33°27'","",33.45,101.75,"planetarium.addPointer({
    'ra':  101.75 ,
    'dec':  33.45 ,
    'label': ' NGC 2277 ',
    'colour': ' rgb(0,153,0) '});",0.674242958096074,1.64290616339078,"planetarium.addPointer({
    'ra':  101.75 ,
    'dec':  33.45 ,
    'label': ' NGC 2277 ',
    'colour': ' rgb(0,153,0) '});"
"2279","NGC 2279","Nebula","–","","Gemini","06h48m","+33°24'","",33.4,102,"planetarium.addPointer({
    'ra':  102 ,
    'dec':  33.4 ,
    'label': ' NGC 2279 ',
    'colour': ' rgb(0,153,0) '});",0.561095682565475,1.6791685281428,"planetarium.addPointer({
    'ra':  102 ,
    'dec':  33.4 ,
    'label': ' NGC 2279 ',
    'colour': ' rgb(0,153,0) '});"
"2284","NGC 2284","Nebula","–","","Gemini","06h49m","+33°11'","",33.1833333333333,102.25,"planetarium.addPointer({
    'ra':  102.25 ,
    'dec':  33.1833333333333 ,
    'label': ' NGC 2284 ',
    'colour': ' rgb(0,153,0) '});",0.481034532132584,1.92527386041864,"planetarium.addPointer({
    'ra':  102.25 ,
    'dec':  33.1833333333333 ,
    'label': ' NGC 2284 ',
    'colour': ' rgb(0,153,0) '});"
"2316","NGC 2316","Nebula","–","","Monoceros","06h59m","-07°46'","",-6.23333333333333,104.75,"planetarium.addPointer({
    'ra':  104.75 ,
    'dec':  -6.23333333333333 ,
    'label': ' NGC 2316 ',
    'colour': ' rgb(0,153,0) '});",0.642260608126782,0.252902679517217,"planetarium.addPointer({
    'ra':  104.75 ,
    'dec':  -6.23333333333333 ,
    'label': ' NGC 2316 ',
    'colour': ' rgb(0,153,0) '});"
"2317","NGC 2317","Nebula","–","","Monoceros","06h59m","-07°46'","",-6.23333333333333,104.75,"planetarium.addPointer({
    'ra':  104.75 ,
    'dec':  -6.23333333333333 ,
    'label': ' NGC 2317 ',
    'colour': ' rgb(0,153,0) '});",0.642260608126782,0.252902679517217,"planetarium.addPointer({
    'ra':  104.75 ,
    'dec':  -6.23333333333333 ,
    'label': ' NGC 2317 ',
    'colour': ' rgb(0,153,0) '});"
"2361","NGC 2361","Nebula","–","","Canis Major","07h18m","-13°12'","",-12.8,109.5,"planetarium.addPointer({
    'ra':  109.5 ,
    'dec':  -12.8 ,
    'label': ' NGC 2361 ',
    'colour': ' rgb(0,153,0) '});",0.607341216609846,1.32092005635984,"planetarium.addPointer({
    'ra':  109.5 ,
    'dec':  -12.8 ,
    'label': ' NGC 2361 ',
    'colour': ' rgb(0,153,0) '});"
"2386","NGC 2386","Nebula","–","","Gemini","07h28m","+33°46'","",33.7666666666667,112,"planetarium.addPointer({
    'ra':  112 ,
    'dec':  33.7666666666667 ,
    'label': ' NGC 2386 ',
    'colour': ' rgb(0,153,0) '});",0.509203042620103,-0.10248156465784,"planetarium.addPointer({
    'ra':  112 ,
    'dec':  33.7666666666667 ,
    'label': ' NGC 2386 ',
    'colour': ' rgb(0,153,0) '});"
"2399","NGC 2399","Nebula","–","","Canis Minor","07h29m","-00°12'","",0.2,112.25,"planetarium.addPointer({
    'ra':  112.25 ,
    'dec':  0.2 ,
    'label': ' NGC 2399 ',
    'colour': ' rgb(0,153,0) '});",-0.339573007096391,1.01009399424742,"planetarium.addPointer({
    'ra':  112.25 ,
    'dec':  0.2 ,
    'label': ' NGC 2399 ',
    'colour': ' rgb(0,153,0) '});"
"2400","NGC 2400","Nebula","–","","Canis Minor","07h29m","-00°12'","",0.2,112.25,"planetarium.addPointer({
    'ra':  112.25 ,
    'dec':  0.2 ,
    'label': ' NGC 2400 ',
    'colour': ' rgb(0,153,0) '});",-0.339573007096391,1.01009399424742,"planetarium.addPointer({
    'ra':  112.25 ,
    'dec':  0.2 ,
    'label': ' NGC 2400 ',
    'colour': ' rgb(0,153,0) '});"
"2433","NGC 2433","Nebula","–","","Canis Minor","07h42m","+09°15'","",9.25,115.5,"planetarium.addPointer({
    'ra':  115.5 ,
    'dec':  9.25 ,
    'label': ' NGC 2433 ',
    'colour': ' rgb(0,153,0) '});",-0.440720782986545,1.05533648525023,"planetarium.addPointer({
    'ra':  115.5 ,
    'dec':  9.25 ,
    'label': ' NGC 2433 ',
    'colour': ' rgb(0,153,0) '});"
"2464","NGC 2464","Nebula","–","","Lynx","07h57m","+56°41'","",56.6833333333333,119.25,"planetarium.addPointer({
    'ra':  119.25 ,
    'dec':  56.6833333333333 ,
    'label': ' NGC 2464 ',
    'colour': ' rgb(0,153,0) '});",-0.873143138241388,1.59930223961359,"planetarium.addPointer({
    'ra':  119.25 ,
    'dec':  56.6833333333333 ,
    'label': ' NGC 2464 ',
    'colour': ' rgb(0,153,0) '});"
"2529","NGC 2529","Nebula","–","","Cancer","08h07m","+17°49'","",17.8166666666667,121.75,"planetarium.addPointer({
    'ra':  121.75 ,
    'dec':  17.8166666666667 ,
    'label': ' NGC 2529 ',
    'colour': ' rgb(0,153,0) '});",-0.144585394159234,1.7006077044466,"planetarium.addPointer({
    'ra':  121.75 ,
    'dec':  17.8166666666667 ,
    'label': ' NGC 2529 ',
    'colour': ' rgb(0,153,0) '});"
"2531","NGC 2531","Nebula","–","","Cancer","08h08m","+17°49'","",17.8166666666667,122,"planetarium.addPointer({
    'ra':  122 ,
    'dec':  17.8166666666667 ,
    'label': ' NGC 2531 ',
    'colour': ' rgb(0,153,0) '});",-0.0580926581680815,1.7952607316794,"planetarium.addPointer({
    'ra':  122 ,
    'dec':  17.8166666666667 ,
    'label': ' NGC 2531 ',
    'colour': ' rgb(0,153,0) '});"
"2586","NGC 2586","Nebula","–","","Hydra","08h23m","-04°57'","",-3.05,125.75,"planetarium.addPointer({
    'ra':  125.75 ,
    'dec':  -3.05 ,
    'label': ' NGC 2586 ',
    'colour': ' rgb(0,153,0) '});",0.987814056766389,1.91486431196796,"planetarium.addPointer({
    'ra':  125.75 ,
    'dec':  -3.05 ,
    'label': ' NGC 2586 ',
    'colour': ' rgb(0,153,0) '});"
"2589","NGC 2589","Nebula","–","","Hydra","08h24m","-08°46'","",-7.23333333333333,126,"planetarium.addPointer({
    'ra':  126 ,
    'dec':  -7.23333333333333 ,
    'label': ' NGC 2589 ',
    'colour': ' rgb(0,153,0) '});",-1.09042847473665,1.99258133861586,"planetarium.addPointer({
    'ra':  126 ,
    'dec':  -7.23333333333333 ,
    'label': ' NGC 2589 ',
    'colour': ' rgb(0,153,0) '});"
"2630","NGC 2630","Nebula","–","","Ursa Major","08h47m","+73°00'","",73,131.75,"planetarium.addPointer({
    'ra':  131.75 ,
    'dec':  73 ,
    'label': ' NGC 2630 ',
    'colour': ' rgb(0,153,0) '});",0.291930610503196,1.83502271362118,"planetarium.addPointer({
    'ra':  131.75 ,
    'dec':  73 ,
    'label': ' NGC 2630 ',
    'colour': ' rgb(0,153,0) '});"
"2631","NGC 2631","Nebula","–","","Ursa Major","08h47m","+73°00'","",73,131.75,"planetarium.addPointer({
    'ra':  131.75 ,
    'dec':  73 ,
    'label': ' NGC 2631 ',
    'colour': ' rgb(0,153,0) '});",0.291930610503196,1.83502271362118,"planetarium.addPointer({
    'ra':  131.75 ,
    'dec':  73 ,
    'label': ' NGC 2631 ',
    'colour': ' rgb(0,153,0) '});"
"2757","NGC 2757","Nebula","–","","Hydra","09h05m","-19°02'","",-18.9666666666667,136.25,"planetarium.addPointer({
    'ra':  136.25 ,
    'dec':  -18.9666666666667 ,
    'label': ' NGC 2757 ',
    'colour': ' rgb(0,153,0) '});",0.478848474135849,0.145600382139469,"planetarium.addPointer({
    'ra':  136.25 ,
    'dec':  -18.9666666666667 ,
    'label': ' NGC 2757 ',
    'colour': ' rgb(0,153,0) '});"
"2875","NGC 2875","Nebula","–","","Leo","09h25m","+11°25'","",11.4166666666667,141.25,"planetarium.addPointer({
    'ra':  141.25 ,
    'dec':  11.4166666666667 ,
    'label': ' NGC 2875 ',
    'colour': ' rgb(0,153,0) '});",-0.0774041019200474,2.01157786668486,"planetarium.addPointer({
    'ra':  141.25 ,
    'dec':  11.4166666666667 ,
    'label': ' NGC 2875 ',
    'colour': ' rgb(0,153,0) '});"
"2879","NGC 2879","Nebula","–","","Hydra","09h25m","-11°39'","",-10.35,141.25,"planetarium.addPointer({
    'ra':  141.25 ,
    'dec':  -10.35 ,
    'label': ' NGC 2879 ',
    'colour': ' rgb(0,153,0) '});",-0.137227346616295,1.94565301992584,"planetarium.addPointer({
    'ra':  141.25 ,
    'dec':  -10.35 ,
    'label': ' NGC 2879 ',
    'colour': ' rgb(0,153,0) '});"
"2886","NGC 2886","Nebula","–","","Hydra","09h26m","-21°44'","",-20.2666666666667,141.5,"planetarium.addPointer({
    'ra':  141.5 ,
    'dec':  -20.2666666666667 ,
    'label': ' NGC 2886 ',
    'colour': ' rgb(0,153,0) '});",-0.325058252150939,2.13317352889506,"planetarium.addPointer({
    'ra':  141.5 ,
    'dec':  -20.2666666666667 ,
    'label': ' NGC 2886 ',
    'colour': ' rgb(0,153,0) '});"
"2901","NGC 2901","Nebula","–","","Leo","09h32m","+31°06'","",31.1,143,"planetarium.addPointer({
    'ra':  143 ,
    'dec':  31.1 ,
    'label': ' NGC 2901 ',
    'colour': ' rgb(0,153,0) '});",-0.0116478215570897,0.225055307436863,"planetarium.addPointer({
    'ra':  143 ,
    'dec':  31.1 ,
    'label': ' NGC 2901 ',
    'colour': ' rgb(0,153,0) '});"
"2953","NGC 2953","Nebula","–","","Leo","09h40m","+14°49'","",14.8166666666667,145,"planetarium.addPointer({
    'ra':  145 ,
    'dec':  14.8166666666667 ,
    'label': ' NGC 2953 ',
    'colour': ' rgb(0,153,0) '});",1.10896662003263,1.75700080629207,"planetarium.addPointer({
    'ra':  145 ,
    'dec':  14.8166666666667 ,
    'label': ' NGC 2953 ',
    'colour': ' rgb(0,153,0) '});"
"2973","NGC 2973","Nebula","–","","Antlia","09h41m","-30°02'","",-29.9666666666667,145.25,"planetarium.addPointer({
    'ra':  145.25 ,
    'dec':  -29.9666666666667 ,
    'label': ' NGC 2973 ',
    'colour': ' rgb(0,153,0) '});",0.372079693619166,-0.929585841298915,"planetarium.addPointer({
    'ra':  145.25 ,
    'dec':  -29.9666666666667 ,
    'label': ' NGC 2973 ',
    'colour': ' rgb(0,153,0) '});"
"3097","NGC 3097","Nebula","–","","Ursa Major","10h04m","+60°07'","",60.1166666666667,151,"planetarium.addPointer({
    'ra':  151 ,
    'dec':  60.1166666666667 ,
    'label': ' NGC 3097 ',
    'colour': ' rgb(0,153,0) '});",0.666115741509507,2.13509453432376,"planetarium.addPointer({
    'ra':  151 ,
    'dec':  60.1166666666667 ,
    'label': ' NGC 3097 ',
    'colour': ' rgb(0,153,0) '});"
"3123","NGC 3123","Nebula","–","","Sextans","10h07m","+00°04'","",0.0666666666666667,151.75,"planetarium.addPointer({
    'ra':  151.75 ,
    'dec':  0.0666666666666667 ,
    'label': ' NGC 3123 ',
    'colour': ' rgb(0,153,0) '});",-0.673415451756112,0.0415119370095006,"planetarium.addPointer({
    'ra':  151.75 ,
    'dec':  0.0666666666666667 ,
    'label': ' NGC 3123 ',
    'colour': ' rgb(0,153,0) '});"
"3167","NGC 3167","Nebula","–","","Leo Minor","10h14m","+29°35'","",29.5833333333333,153.5,"planetarium.addPointer({
    'ra':  153.5 ,
    'dec':  29.5833333333333 ,
    'label': ' NGC 3167 ',
    'colour': ' rgb(0,153,0) '});",-0.677937435090398,-0.791647602170375,"planetarium.addPointer({
    'ra':  153.5 ,
    'dec':  29.5833333333333 ,
    'label': ' NGC 3167 ',
    'colour': ' rgb(0,153,0) '});"
"3176","NGC 3176","Nebula","–","","Hydra","10h15m","-19°01'","",-18.9833333333333,153.75,"planetarium.addPointer({
    'ra':  153.75 ,
    'dec':  -18.9833333333333 ,
    'label': ' NGC 3176 ',
    'colour': ' rgb(0,153,0) '});",0.845664582823891,1.5227746726076,"planetarium.addPointer({
    'ra':  153.75 ,
    'dec':  -18.9833333333333 ,
    'label': ' NGC 3176 ',
    'colour': ' rgb(0,153,0) '});"
"3199","NGC 3199","Nebula","–","","Carina","10h17m","-57°55'","",-56.0833333333333,154.25,"planetarium.addPointer({
    'ra':  154.25 ,
    'dec':  -56.0833333333333 ,
    'label': ' NGC 3199 ',
    'colour': ' rgb(0,153,0) '});",1.48242547870052,0.452280230382853,"planetarium.addPointer({
    'ra':  154.25 ,
    'dec':  -56.0833333333333 ,
    'label': ' NGC 3199 ',
    'colour': ' rgb(0,153,0) '});"
"3229","NGC 3229","Nebula","–","","Sextans","10h23m","+00°03'","",0.05,155.75,"planetarium.addPointer({
    'ra':  155.75 ,
    'dec':  0.05 ,
    'label': ' NGC 3229 ',
    'colour': ' rgb(0,153,0) '});",-0.00125756114406813,0.633145374577385,"planetarium.addPointer({
    'ra':  155.75 ,
    'dec':  0.05 ,
    'label': ' NGC 3229 ',
    'colour': ' rgb(0,153,0) '});"
"3317","NGC 3317","Nebula","–","","Hydra","10h37m","-27°31'","",-26.4833333333333,159.25,"planetarium.addPointer({
    'ra':  159.25 ,
    'dec':  -26.4833333333333 ,
    'label': ' NGC 3317 ',
    'colour': ' rgb(0,153,0) '});",-0.385604372800817,1.92677508266076,"planetarium.addPointer({
    'ra':  159.25 ,
    'dec':  -26.4833333333333 ,
    'label': ' NGC 3317 ',
    'colour': ' rgb(0,153,0) '});"
"3387","NGC 3387","Nebula","–","","Sextans","10h48m","+04°57'","",4.95,162,"planetarium.addPointer({
    'ra':  162 ,
    'dec':  4.95 ,
    'label': ' NGC 3387 ',
    'colour': ' rgb(0,153,0) '});",-0.462349899395307,-0.728508687916945,"planetarium.addPointer({
    'ra':  162 ,
    'dec':  4.95 ,
    'label': ' NGC 3387 ',
    'colour': ' rgb(0,153,0) '});"
"3401","NGC 3401","Nebula","–","","Sextans","10h50m","+05°48'","",5.8,162.5,"planetarium.addPointer({
    'ra':  162.5 ,
    'dec':  5.8 ,
    'label': ' NGC 3401 ',
    'colour': ' rgb(0,153,0) '});",-0.626976122191507,0.302074435795712,"planetarium.addPointer({
    'ra':  162.5 ,
    'dec':  5.8 ,
    'label': ' NGC 3401 ',
    'colour': ' rgb(0,153,0) '});"
"3472","NGC 3472","Nebula","–","","Crater","10h57m","-19°38'","",-18.3666666666667,164.25,"planetarium.addPointer({
    'ra':  164.25 ,
    'dec':  -18.3666666666667 ,
    'label': ' NGC 3472 ',
    'colour': ' rgb(0,153,0) '});",-0.412582178334076,-0.347478665452995,"planetarium.addPointer({
    'ra':  164.25 ,
    'dec':  -18.3666666666667 ,
    'label': ' NGC 3472 ',
    'colour': ' rgb(0,153,0) '});"
"3484","NGC 3484","Nebula","–","","Crater","10h57m","-19°37'","",-18.3833333333333,164.25,"planetarium.addPointer({
    'ra':  164.25 ,
    'dec':  -18.3833333333333 ,
    'label': ' NGC 3484 ',
    'colour': ' rgb(0,153,0) '});",-0.425837834049084,-0.336418069900068,"planetarium.addPointer({
    'ra':  164.25 ,
    'dec':  -18.3833333333333 ,
    'label': ' NGC 3484 ',
    'colour': ' rgb(0,153,0) '});"
"3498","NGC 3498","Nebula","–","","Leo","11h01m","+14°21'","",14.35,165.25,"planetarium.addPointer({
    'ra':  165.25 ,
    'dec':  14.35 ,
    'label': ' NGC 3498 ',
    'colour': ' rgb(0,153,0) '});",0.445170935378918,1.91199858156452,"planetarium.addPointer({
    'ra':  165.25 ,
    'dec':  14.35 ,
    'label': ' NGC 3498 ',
    'colour': ' rgb(0,153,0) '});"
"3578","NGC 3578","Nebula","–","","Crater","11h12m","-15°57'","",-14.05,168,"planetarium.addPointer({
    'ra':  168 ,
    'dec':  -14.05 ,
    'label': ' NGC 3578 ',
    'colour': ' rgb(0,153,0) '});",-0.451621150249926,-0.90175019825134,"planetarium.addPointer({
    'ra':  168 ,
    'dec':  -14.05 ,
    'label': ' NGC 3578 ',
    'colour': ' rgb(0,153,0) '});"
"3579","NGC 3579","Nebula","–","","Carina","11h11m","-61°14'","",-60.7666666666667,167.75,"planetarium.addPointer({
    'ra':  167.75 ,
    'dec':  -60.7666666666667 ,
    'label': ' NGC 3579 ',
    'colour': ' rgb(0,153,0) '});",0.190006992542649,-0.567034042824915,"planetarium.addPointer({
    'ra':  167.75 ,
    'dec':  -60.7666666666667 ,
    'label': ' NGC 3579 ',
    'colour': ' rgb(0,153,0) '});"
"3582","NGC 3582","Nebula","–","","Carina","11h12m","-61°16'","",-60.7333333333333,168,"planetarium.addPointer({
    'ra':  168 ,
    'dec':  -60.7333333333333 ,
    'label': ' NGC 3582 ',
    'colour': ' rgb(0,153,0) '});",0.273574215784058,-0.469496800540345,"planetarium.addPointer({
    'ra':  168 ,
    'dec':  -60.7333333333333 ,
    'label': ' NGC 3582 ',
    'colour': ' rgb(0,153,0) '});"
"3584","NGC 3584","Nebula","–","","Carina","11h12m","-61°13'","",-60.7833333333333,168,"planetarium.addPointer({
    'ra':  168 ,
    'dec':  -60.7833333333333 ,
    'label': ' NGC 3584 ',
    'colour': ' rgb(0,153,0) '});",0.296677901281023,-0.515706073230764,"planetarium.addPointer({
    'ra':  168 ,
    'dec':  -60.7833333333333 ,
    'label': ' NGC 3584 ',
    'colour': ' rgb(0,153,0) '});"
"3586","NGC 3586","Nebula","–","","Carina","11h12m","-61°21'","",-60.65,168,"planetarium.addPointer({
    'ra':  168 ,
    'dec':  -60.65 ,
    'label': ' NGC 3586 ',
    'colour': ' rgb(0,153,0) '});",0.233877556128723,-0.393795385155961,"planetarium.addPointer({
    'ra':  168 ,
    'dec':  -60.65 ,
    'label': ' NGC 3586 ',
    'colour': ' rgb(0,153,0) '});"
"3708","NGC 3708","Nebula","–","","Leo","11h30m","-03°13'","",-2.78333333333333,172.5,"planetarium.addPointer({
    'ra':  172.5 ,
    'dec':  -2.78333333333333 ,
    'label': ' NGC 3708 ',
    'colour': ' rgb(0,153,0) '});",-1.09838016182676,0.72311119795489,"planetarium.addPointer({
    'ra':  172.5 ,
    'dec':  -2.78333333333333 ,
    'label': ' NGC 3708 ',
    'colour': ' rgb(0,153,0) '});"
